Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
EffectName,,多面体ガラス,Faceted Glass,多面玻璃,多面玻璃,다면 유리,Vidrio facetado,زجاج متعدد الأوجه,Kaca Bersegi
BasicGroup,,基本,Basic,基本,基本,기본,Básico,أساسي,Dasar
GeometryGroup,,面構造,Facet Geometry,面结构,面結構,면 구조,Geometría de facetas,هندسة الأوجه,Geometri Faset
OpticsGroup,,光学,Optics,光学,光學,광학,Óptica,البصريات,Optik
AppearanceGroup,,外観,Appearance,外观,外觀,외관,Apariencia,المظهر,Tampilan
LightingGroup,,照明,Lighting,照明,照明,조명,Iluminación,الإضاءة,Pencahayaan
AmountName,,強さ,Amount,强度,強度,강도,Intensidad,القوة,Kekuatan
AmountDesc,,元映像と多面体ガラスの合成量です。,Controls the blend between the source and faceted glass.,控制原始画面与多面玻璃的混合量。,控制原始畫面與多面玻璃的混合量。,원본과 다면 유리의 합성량입니다.,Controla la mezcla con el vidrio facetado.,يتحكم في مزج المصدر مع الزجاج متعدد الأوجه.,Mengatur campuran sumber dan kaca bersegi.
CellSizeName,,面サイズ,Facet Size,面大小,面大小,면 크기,Tamaño de faceta,حجم الوجه,Ukuran Faset
CellSizeDesc,,三角形の一辺の長さです。,Sets the edge length of each triangular facet.,设置每个三角面的边长。,設定每個三角面的邊長。,삼각형 면의 한 변 길이입니다.,Define la longitud de cada faceta triangular.,يضبط طول ضلع كل وجه مثلث.,Mengatur panjang sisi setiap faset segitiga.
ReliefName,,凹凸,Relief,凹凸,凹凸,요철,Relieve,التضاريس,Relief
ReliefDesc,,共有頂点の高さ差による面の傾きです。,Controls facet tilt from shared vertex heights.,控制共享顶点高度差形成的面倾斜。,控制共享頂點高度差形成的面傾斜。,공유 꼭짓점 높이 차이로 면 기울기를 조정합니다.,Controla la inclinación mediante alturas compartidas.,يتحكم في ميل الأوجه من ارتفاعات الرؤوس المشتركة.,Mengatur kemiringan faset dari tinggi titik bersama.
RotationName,,分割角度,Grid Rotation,分割角度,分割角度,분할 각도,Rotación de cuadrícula,دوران الشبكة,Rotasi Kisi
RotationDesc,,三角形格子全体の角度です。,Rotates the triangular lattice.,旋转整个三角形网格。,旋轉整個三角形格線。,삼각형 격자 전체를 회전합니다.,Gira la retícula triangular.,يدير الشبكة المثلثة.,Memutar seluruh kisi segitiga.
SeedName,,シード,Seed,种子,種子,시드,Semilla,البذرة,Seed
SeedDesc,,面の高さ配置を決定する固定値です。,Sets the deterministic vertex height pattern.,设置确定性的顶点高度排列。,設定確定性的頂點高度排列。,결정론적 꼭짓점 높이 배치를 정합니다.,Define el patrón determinista de alturas.,يضبط نمط ارتفاعات الرؤوس الحتمي.,Mengatur pola tinggi titik yang deterministik.
RefractionName,,屈折,Refraction,折射,折射,굴절,Refracción,الانكسار,Refraksi
RefractionDesc,,面法線による映像のずれ量です。,Controls image displacement caused by facet refraction.,控制面法线产生的画面偏移。,控制面法線產生的畫面偏移。,면 법선에 의한 영상 이동량입니다.,Controla el desplazamiento por refracción.,يتحكم في إزاحة الصورة بسبب الانكسار.,Mengatur pergeseran gambar akibat refraksi.
RefractiveIndexName,,屈折率,Refractive Index,折射率,折射率,굴절률,Índice de refracción,معامل الانكسار,Indeks Refraksi
RefractiveIndexDesc,,基準波長におけるガラスの屈折率です。,Sets the glass index at the reference wavelength.,设置参考波长下的玻璃折射率。,設定參考波長下的玻璃折射率。,기준 파장에서 유리의 굴절률입니다.,Define el índice del vidrio en la longitud de referencia.,يضبط معامل انكسار الزجاج عند الطول المرجعي.,Mengatur indeks kaca pada panjang gelombang referensi.
DispersionName,,分散,Dispersion,色散,色散,분산,Dispersión,التشتت,Dispersi
DispersionDesc,,波長ごとの屈折率差による色分離です。,Controls wavelength dependent color separation.,控制波长相关折射率差产生的分色。,控制波長相關折射率差產生的分色。,파장별 굴절률 차이에 의한 색 분리입니다.,Controla la separación cromática por longitud de onda.,يتحكم في فصل الألوان المعتمد على الطول الموجي.,Mengatur pemisahan warna berdasarkan panjang gelombang.
ReflectionName,,反射,Reflection,反射,反射,반사,Reflexión,الانعكاس,Refleksi
ReflectionDesc,,Fresnel反射と鏡面ハイライトの強さです。,Controls Fresnel reflection and specular highlights.,控制Fresnel反射和镜面高光。,控制Fresnel反射和鏡面高光。,프레넬 반사와 정반사 하이라이트 강도입니다.,Controla la reflexión Fresnel y los brillos.,يتحكم في انعكاس فرينل واللمعان المرآتي.,Mengatur refleksi Fresnel dan sorotan spekular.
BorderWidthName,,面境界,Facet Border,面边界,面邊界,면 경계,Borde de faceta,حدود الأوجه,Batas Faset
BorderWidthDesc,,三角形の境界に現れる反射線の幅です。,Sets the reflective line width at facet edges.,设置三角面边界反射线宽度。,設定三角面邊界反射線寬度。,삼각형 경계의 반사선 폭입니다.,Define el ancho reflectante de los bordes.,يضبط عرض الخط العاكس عند حواف الأوجه.,Mengatur lebar garis reflektif pada tepi faset.
LightAngleName,,光源角度,Light Angle,光源角度,光源角度,광원 각도,Ángulo de luz,زاوية الضوء,Sudut Cahaya
LightAngleDesc,,平面上の光源方向です。,Sets the light direction in the image plane.,设置图像平面上的光源方向。,設定影像平面上的光源方向。,영상 평면의 광원 방향입니다.,Define la dirección de la luz en el plano.,يضبط اتجاه الضوء على مستوى الصورة.,Mengatur arah cahaya pada bidang gambar.
LightElevationName,,光源高度,Light Elevation,光源高度,光源高度,광원 고도,Elevación de luz,ارتفاع الضوء,Ketinggian Cahaya
LightElevationDesc,,面に対する光源の高さです。,Sets the elevation of the light above the surface.,设置光源相对表面的高度。,設定光源相對表面的高度。,표면 위 광원의 고도입니다.,Define la elevación de la luz sobre la superficie.,يضبط ارتفاع الضوء فوق السطح.,Mengatur ketinggian cahaya di atas permukaan.
TagGlass,,ガラス,glass,玻璃,玻璃,유리,vidrio,زجاج,kaca
TagPrism,,プリズム,prism,棱镜,稜鏡,프리즘,prisma,منشور,prisma
TagRefraction,,屈折,refraction,折射,折射,굴절,refracción,انكسار,refraksi
TagFacet,,多面体,facet,多面体,多面體,다면체,faceta,متعدد الأوجه,faset
